text,main_category,sub_category,priority_level,severity_score
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Waste is blocking access and movement is affected near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Garbage is dumped near the road and causes traffic problems for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,26
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Road condition is bad and cleaning vehicles avoid this street near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,37
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Children are affected due to insects and waste here in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,36
Urgently This has been going on for many days and it needs action.,garbage,missed_collection,3,15
We request We are facing inconvenience daily near our houses.,garbage,missed_collection,3,14
"This complaint is related to road infrastructure. The citizen reports the following issue: We request Please check the condition in our area and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
Please Access is affected and people cannot reach easily for the past few days.,road,access_mobility,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Our actually area does not have a usable road for vehicles as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request Garbage to be honest blocks the road and vehicles cannot pass. The street condition also makes cleaning difficult.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,37
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly We need we are facing a proper route connection in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report The road is damaged and garbage this is affecting us is also dumped nearby for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,38
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please look into we are facing this issue as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
Urgently Pedestrians cannot walk because waste is spread and it needs action.,garbage,access_mobility,1,36
Kindly Garbage causes bad smell and mosquito breeding.,garbage,health_risk,1,37
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Waste is blocking part of the street and people are affected.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,25
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report solid waste is dumped near the lane and causes traffic problems for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,26
Urgently Requesting authorities to take action.,garbage,missed_collection,3,14
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report People are facing difficulty because of this is affecting us route issues as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,20
Kindly This has been going on for many days and it needs action.,garbage,missed_collection,3,13
We request This problem has been there for some time as soon as possible.,road,infrastructure_gap,2,18
Kindly We need we are facing a proper route connection in our area.,road,infrastructure_gap,2,20
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Please check the condition in our area. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Garbage blocks the route and vehicles cannot pass.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,37
I want to report The road is damaged and garbage this is affecting us is also dumped nearby for the past few days.,road,access_mobility,1,37
"This complaint is related to road infrastructure. The citizen reports the following issue: We request There is no proper road facility in our locality and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
"This complaint is related to road infrastructure. The citizen reports the following issue: We request This problem has been there for some time for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report The street is partially obstructed because of garbage near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly Vehicles cannot it is becoming pass because the route is blocked near our houses. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
We request Children are this is affecting us affected due to insects and waste here for the past few days.,garbage,health_risk,1,35
"This complaint is related to road infrastructure. The citizen reports the following issue: Vehicles cannot pass and waste is piled up on the side in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,39
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Requesting authorities to take action for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request We are facing inconvenience daily near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,14
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Waste is it is becoming blocking access and movement is affected near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request Requesting authorities to take action and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Pedestrians actually cannot walk because waste is spread and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
Urgently Vehicles cannot pass kindly look into because the street is not passable for the past few days.,road,access_mobility,1,40
Please look into we are facing this issue as soon as possible.,garbage,missed_collection,3,12
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently There are rats to be honest and mosquitoeses due to waste accumulation in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Vehicles cannot pass because the road is blocked and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly People are facing difficulty because of road issues near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,20
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently The situation is becoming worse day by day in our area. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
We request Waste is blocking access and movement is affected near our houses.,garbage,access_mobility,1,34
"This complaint is related to road infrastructure. The citizen reports the following issue: Please There is no proper route facility in our locality.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
Please Vehicles cannot pass and waste is piled up on the side as soon as possible.,road,access_mobility,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: Our area does not have a usable road for vehicles and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
I want to report Children cannot safely walk to using this lane in our area.,road,access_mobility,1,38
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please This has been going on for many days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
I want to report Garbage causes bad smell and mosquito breeding as soon as possible.,garbage,health_risk,1,37
I want to report Garbage blocks the road and vehicles cannot pass in our area.,garbage,access_mobility,1,36
Waste is rotting and may we are facing spread diseases near our houses. The street condition also makes cleaning difficult.,garbage,health_risk,1,37
"This complaint is related to road infrastructure. The citizen reports the following issue: We request This problem has been there for some time as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Vehicles cannot pass because the road is blocked for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
Kindly The situation is becoming requesting you to worse day by day in our area.,road,infrastructure_gap,2,18
"This complaint is related to road infrastructure. The citizen reports the following issue: People are facing difficulty because of road issues near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,20
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report We are facing inconveinence kindly look into daily and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
Please Waste is blocking part of the street and people are affected.,garbage,recurring_garbage_point,2,24
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Waste is blocking access and movement is affected.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
We request The situation is becoming worse day by day for the past few days.,road,infrastructure_gap,2,18
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please solid waste accumulation makes it hard to use the road in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,25
Kindly The street this is affecting us is partially not passable because of waste near our houses.,garbage,access_mobility,1,34
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please waste accumulation makes it hard to use the lane as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,25
Kindly People are facing difficulty because of road issues near our houses.,road,infrastructure_gap,2,19
"This complaint is related to road infrastructure. The citizen reports the following issue: Please The route is damaged and solid waste is also dumped nearby.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,38
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently This has been going on for many days and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,15
Urgently The street is partially blocked because of garbage as soon as possible.,garbage,access_mobility,1,36
The situation is becoming worse day by day for the past few days.,road,infrastructure_gap,2,18
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Waste is blocking part of the street and people aer affected in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,25
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly This has been going on for many days for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request solid waste blocks the road and vehicles cannot pass near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,37
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Vehicles cannot pass and waste is to be honest piled up on the side for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,39
Urgently Vehicles cannot pass because the road is blocked as soon as possible.,road,access_mobility,1,40
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently The road is damaged and requesting you to garbage is also dumped nearby in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,39
This problem has been there for some time in our area.,road,infrastructure_gap,2,18
Waste is rotting and may spread diseases as soon as possible.,garbage,health_risk,1,37
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We are facing we are facing inconvenience daily in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,14
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Garbage causes bad smell and mosquitoes breeding in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Waste is rotting and may we are facing spread infection risks.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,36
Urgently Children cannot safely actually walk to school using this road for the past few days.,road,access_mobility,1,40
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report This problem has been there for some time in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
Please Vehicles cannot pass and waste is to be honest piled up on the side for the past few days.,road,access_mobility,1,38
Please Garbage accumulation makes it hard to use the road for the past few days.,garbage,recurring_garbage_point,2,24
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request There are rats this is affecting us and mosquitoes due to waste accumulation and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Please check the condition in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly People are facing difficulty because of road issues for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,20
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently We need a proper road connection in our area near our houses. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,23
I want to report This problem has been there for some time in our area.,road,infrastructure_gap,2,18
I want to report Please look into this issue in our area. The street condition also makes cleaning difficult.,garbage,missed_collection,3,13
We request Please check the condition in our area and it needs action.,road,infrastructure_gap,2,18
I want to report Children are affected due to insects and waste here as soon as possible.,garbage,health_risk,1,35
"This complaint is related to road infrastructure. The citizen reports the following issue: Please check the condition in our area near our houses. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
We request route condition is bad and cleaning vehicles avoid this street and it needs action.,road,access_mobility,1,36
Please There are rats and mosquitoes due to waste accumulation and it needs action.,garbage,health_risk,1,37
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly Vehicles cannot pass and waste is piled up on the side for the past few days. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,39
Access is affected and people cannot reach easily near our houses.,road,access_mobility,1,38
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report The street is partially obstructed because of waste.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
Waste is blocking access and movement is affected near our houses.,garbage,access_mobility,1,34
"This complaint is related to road infrastructure. The citizen reports the following issue: The road is damaged and garbage is also dumped nearby.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report access is difficult due to road condition as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently The street is partially closed because of garbage.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,37
"This complaint is related to road infrastructure. The citizen reports the following issue: We request route condition is bad and cleaning vehicles avoid this street and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,37
I want to report Road condition is bad and cleaning vehicles avoid this street and it needs action.,road,access_mobility,1,36
"This complaint is related to road infrastructure. The citizen reports the following issue: This problem has been there for some time in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
Urgently People are facing difficulty please consider because of route issues and it needs action.,road,infrastructure_gap,2,20
Please waste accumulation makes it hard to use the lane as soon as possible.,garbage,recurring_garbage_point,2,24
We request Access is affected and people cannot reach easily and it needs action.,road,access_mobility,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: This problem has been there for some time near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
Please Please check the condition in our area.,road,infrastructure_gap,2,18
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Waste is rotting and may spread diseases.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
Children are affected due to insects we are suffering and waste here as soon as possible.,garbage,health_risk,1,35
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report We need a proper road connection in our area for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Please look into this issue in our area. The street condition also makes cleaning difficult.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,14
I want to report Garbage it is becoming causes bad smell and mosquito breeding for the past few days.,garbage,health_risk,1,37
I want to report Requesting authorities to take action for the past few days.,garbage,missed_collection,3,12
"This complaint is related to road infrastructure. The citizen reports the following issue: Please provide a new street connection for our street and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently solid waste causes bad smell and mosquito breeding near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Vehicles cannot pass and waste is piled up on the side as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,39
There are rats and mosquitoes due to waste accumulation.,garbage,health_risk,1,37
Please We are facing inconvenience daily and it needs action.,garbage,missed_collection,3,14
Kindly Waste is rotting and may spread diseases.,garbage,health_risk,1,37
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Waste is rotting and may spread diseases as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Pedestrians cannot walk because waste is spread near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
"Kindly Vehicles cannot pass and waste is piled up on the side for the past few days. Also, waste is seen along the street sometimes.",road,access_mobility,1,38
We request We are facing inconvenience daily.,garbage,missed_collection,3,14
I want to report The street is partially obstructed because of garbage near our houses.,garbage,access_mobility,1,34
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Please look into this issue in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
Please Road condition is bad and cleaning vehicles avoid this street near our houses.,road,access_mobility,1,36
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Please provide a new road connection for our street and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
Urgently Access is affected and kindly look into people cannot reach easily in our area.,road,access_mobility,1,40
Road condition is kindly look into bad and cleaning vehicles avoid this street.,road,access_mobility,1,36
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly The situation is becoming requesting you to worse day by day in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
"This complaint is related to road infrastructure. The citizen reports the following issue: Ambulance access is difficult to be honest due to route condition as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly We are we are suffering facing inconvenience daily as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,14
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Waste is rotting and may spread diseases in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
Please The route is damaged and solid waste is also dumped nearby.,road,access_mobility,1,37
I want to report Access is affected and people cannot reach easily near our houses.,road,access_mobility,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Our area does not have a usable road for vehicles and it needs action. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,23
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Access is affected and kindly look into people cannot reach easily in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
We request Our area does not have a usable road for vehicles and it needs action.,road,infrastructure_gap,2,20
We request There are rats this is affecting us and mosquitoes due to waste accumulation and it needs action.,garbage,health_risk,1,37
"This complaint is related to road infrastructure. The citizen reports the following issue: Access is affected and people cannot reach easily near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,39
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently This has been going on for many days and it needs action. The street condition also makes cleaning difficult.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,15
I want to report We are facing inconveinence kindly look into daily and it needs action.,garbage,missed_collection,3,13
Ambulance access is difficult to be honest due to route condition as soon as possible.,road,access_mobility,1,40
We are facing we are facing inconvenience daily in our area.,garbage,missed_collection,3,14
We request Please look into this it is becoming issue for the past few days.,garbage,missed_collection,3,12
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly Road condition is bad and cleaning vehicles avoid this street and it needs action. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,37
We request Garbage to be honest blocks the road and vehicles cannot pass. The street condition also makes cleaning difficult.,garbage,access_mobility,1,36
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Garbage causes bad smell and mosquitoes please consider breeding.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
Urgently solid waste causes bad smell and mosquito breeding near our houses.,garbage,health_risk,1,37
waste blocks the road and vehicles cannot pass near our houses.,garbage,access_mobility,1,36
I want to report Requesting authorities to take please consider action for the past few days.,garbage,missed_collection,3,12
I want to report The situation is becoming worse day by day and it needs action.,road,infrastructure_gap,2,18
I want to report There is no proper requesting you to road facility in our locality for the past few days.,road,infrastructure_gap,2,20
"I want to report Please check the condition in our area. Also, waste is seen along the street sometimes.",road,infrastructure_gap,2,18
Kindly Garbage accumulation makes it hard to use the road in our area. The street condition also makes cleaning difficult.,garbage,recurring_garbage_point,2,25
