text,main_category,sub_category,priority_level
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently The street is partially closed because of garbage.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Garbage blocks the road and vehicles cannot pass in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report solid waste is dumped near the lane and causes traffic problems for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
Urgently Vehicles cannot pass kindly look into because the street is not passable for the past few days., road         , access_mobility        ,1
Urgently Vehicles cannot pass because the road is blocked as soon as possible., road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Access is affected and people cannot reach easily for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Please We need to be honest a proper route connection in our area and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Children cannot safely walk to using this lane in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Waste is blocking access and requesting you to movement is affected near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
We request There are rats this is affecting us and mosquitoes due to waste accumulation and it needs action., garbage      , health_risk            ,1
I want to report solid waste is dumped near the lane and causes traffic problems for the past few days., garbage      , recurring_garbage_point,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently This has been going on for many days and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
This problem has been there for some time in our area., road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently This problem has been we are suffering there for some time.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Pedestrians cannot walk because waste is spread near our houses. The street condition also makes cleaning difficult.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
Kindly The situation is becoming requesting you to worse day by day in our area., road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: solid waste is dumped to be honest near the route and causes traffic problems as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
Please Road condition is bad and cleaning vehicles avoid this street near our houses., road         , access_mobility        ,1
Please Access is affected and people cannot reach easily for the past few days., road         , access_mobility        ,1
I want to report access is difficult due to road condition as soon as possible., road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Garbage accumulation this is affecting us makes it hard to use the road for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Waste is blocking part of the street and people are affected as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
I want to report Waste is blocking part of the street and people aer affected in our area., garbage      , recurring_garbage_point,2
"This complaint is related to road infrastructure. The citizen reports the following issue: We request There is no actually proper road facility in our locality near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
I want to report Our area does this is affecting us not have a usable road for vehicles near our houses., road         , infrastructure_gap     ,2
Please There are rats and mosquitoes due to waste accumulation and it needs action., garbage      , health_risk            ,1
Ambulance access is difficult due to requesting you to street condition and it needs action., road         , access_mobility        ,1
I want to report Waste is rotting and may spread diseases in our area., garbage      , health_risk            ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly The situation is becoming requesting you to worse day by day in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
There are rats and insectses kindly look into due to waste accumulation as soon as possible., garbage      , health_risk            ,1
We request We are facing inconvenience daily near our houses., garbage      , missed_collection      ,3
Please solid waste is dumped near the road and causes traffic problems as soon as possible., garbage      , recurring_garbage_point,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Waste is blocking part of the street and people aer affected in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Waste is blocking access and movement is affected.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please solid waste is dumped near the road and causes traffic problems as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
Urgently Pedestrians cannot walk because waste is spread and it needs action., garbage      , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Waste is blocking part of the street and people are affected.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
"Please check the condition in our area near our houses. Also, waste is seen along the street sometimes.", road         , infrastructure_gap     ,2
Please Children are affected due to insects and waste here., garbage      , health_risk            ,1
I want to report We need a proper road connection in our area for the past few days., road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please look into we are facing this issue as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
"This complaint is related to road infrastructure. The citizen reports the following issue: Please There is no proper route facility in our locality.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
I want to report Children are affected due to insects and waste here as soon as possible., garbage      , health_risk            ,1
Pedestrians cannot walk because waste we are facing is spread as soon as possible., garbage      , access_mobility        ,1
Please look into this issue., garbage      , missed_collection      ,3
"This complaint is related to road infrastructure. The citizen reports the following issue: The situation is becoming worse day by day for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"We request Children cannot requesting you to safely walk to school using this road and it needs action. Also, waste is seen along the street sometimes.", road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Children are affected due to insects and waste here in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly Our area does not have a usable road for vehicles and it needs action. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
I want to report There is no proper requesting you to road facility in our locality for the past few days., road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Garbage causes bad smell and mosquitoes please consider breeding.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
I want to report Vehicles cannot pass because the route please consider is blocked for the past few days., road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Garbage is dumped near the road and causes traffic problems.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
This problem has been there for some time near our houses., road         , infrastructure_gap     ,2
Please Garbage causes bad smell and mosquitoes please consider breeding., garbage      , health_risk            ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: We request Our area does not have a usable road for vehicles and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: People are facing difficulty because of road issues near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently There are rats to be honest and mosquitoeses due to waste accumulation in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report We are facing inconveinence kindly look into daily and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
Please Our actually area does not have a usable road for vehicles as soon as possible., road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please The street is partially obstructed because of garbage and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
I want to report Garbage causes bad smell and mosquito breeding as soon as possible., garbage      , health_risk            ,1
I want to report We are facing inconveinence kindly look into daily and it needs action., garbage      , missed_collection      ,3
We request Requesting authorities actually to take action and it needs action., garbage      , missed_collection      ,3
"This complaint is related to road infrastructure. The citizen reports the following issue: We request Children cannot safely walk to school using this road as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
We request The situation is becoming worse day by day for the past few days., road         , infrastructure_gap     ,2
Kindly Garbage accumulation makes it hard to use the road in our area. The street condition also makes cleaning difficult., garbage      , recurring_garbage_point,2
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report This problem has been there for some time in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Road condition is kindly look into bad and cleaning vehicles avoid this street.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
I want to report Children cannot safely walk to school using this road and it needs action., road         , access_mobility        ,1
Kindly The street this is affecting us is partially not passable because of waste near our houses., garbage      , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Garbage it is becoming causes bad smell and mosquito breeding for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
Please The street is partially obstructed because of garbage and it needs action., garbage      , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Children cannot safely walk to school using this route for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
Kindly Waste is rotting and may spread diseases., garbage      , health_risk            ,1
Waste is rotting and may we are facing spread diseases near our houses. The street condition also makes cleaning difficult., garbage      , health_risk            ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Vehicles cannot pass and waste is piled up on the side as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Garbage causes bad smell and mosquito breeding as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Pedestrians actually cannot walk because waste is spread and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
We request The we are suffering street is damaged and waste is also dumped nearby and it needs action., road         , access_mobility        ,1
We request route condition is bad and cleaning vehicles avoid this street and it needs action., road         , access_mobility        ,1
Kindly Children are affected due to kindly look into insects and waste here. The street condition also makes cleaning difficult., garbage      , health_risk            ,1
Urgently Requesting authorities to take action., garbage      , missed_collection      ,3
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Garbage blocks the route and vehicles cannot pass.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
"Kindly Road condition is bad and cleaning vehicles avoid this street and it needs action. Also, waste is seen along the street sometimes.", road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Please We need it is becoming a proper road connection in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request Children are this is affecting us affected due to insects and waste here for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
Please The route is damaged and solid waste is also dumped nearby., road         , access_mobility        ,1
There are actually rats and insectses due to waste accumulation near our houses., garbage      , health_risk            ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly Ambulance access is difficult it is becoming due to road condition in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
Urgently Vehicles cannot pass because the road is blocked for the past few days., road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Garbage accumulation makse it hard to use the street.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
Waste is blocking access and movement is affected near our houses., garbage      , access_mobility        ,1
Please Please provide a new road connection for our street as soon as possible., road         , infrastructure_gap     ,2
"Kindly Vehicles cannot pass and waste is piled up on the side for the past few days. Also, waste is seen along the street sometimes.", road         , access_mobility        ,1
